game_id,game_type,game_date,player_id,active_inactive,team_id,opp_team_id,home_away,win_loss,minutes_played,field_goals_made,field_goals_attempted,field_goals_percentage,three_pointers_made,three_pointers_attempted,three_pointers_percentage,free_throws_made,free_throws_attempted,free_throws_percentage,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,fouls,points,plus_minus,minutes_played_clean_up
1,Regular Season,2022-10-19,1,Active,BRK,NOP,Home,L,31.77,11,21,0.524,2,6,0.333,8,9,0.889,0,3,2,1,4,4,4,32,-23,31.76666667
2,Regular Season,2022-10-21,1,Active,BRK,TOR,Home,W,35.45,8,18,0.444,3,9,0.333,8,10,0.8,1,4,6,0,2,5,2,27,-8,35.45
3,Regular Season,2022-10-24,1,Active,BRK,MEM,Away,L,39.02,14,20,0.7,1,3,0.333,8,9,0.889,1,4,4,0,0,1,4,37,-10,39.01666667
4,Regular Season,2022-10-26,1,Active,BRK,MIL,Away,L,38.87,10,23,0.435,1,4,0.25,12,13,0.923,0,6,3,0,2,5,3,33,-17,38.86666667
5,Regular Season,2022-10-27,1,Active,BRK,DAL,Home,L,41.23,12,21,0.571,2,5,0.4,11,11,1,1,2,5,2,1,3,2,37,-6,41.23333333
6,Regular Season,2022-10-29,1,Active,BRK,IND,Home,L,38.78,8,20,0.4,1,5,0.2,9,9,1,1,4,2,3,4,3,0,26,-3,38.78333333
7,Regular Season,2022-10-31,1,Active,BRK,IND,Home,W,39.07,13,22,0.591,2,5,0.4,8,8,1,0,9,7,1,1,3,2,36,8,39.06666667
8,Regular Season,2022-11-01,1,Active,BRK,CHI,Home,L,37.98,9,16,0.563,2,4,0.5,12,12,1,0,9,6,1,2,7,3,32,-7,37.98333333
9,Regular Season,2022-11-04,1,Active,BRK,WAS,Away,W,33.18,10,21,0.476,2,6,0.333,6,6,1,0,9,11,0,1,2,1,28,35,33.18333333
10,Regular Season,2022-11-05,1,Active,BRK,CHO,Away,W,37.03,10,20,0.5,1,4,0.25,6,6,1,0,8,2,0,3,3,2,27,13,37.03333333
11,Regular Season,2022-11-07,1,Active,BRK,DAL,Away,L,38.07,10,20,0.5,1,3,0.333,5,7,0.714,1,3,4,2,1,3,5,26,1,38.06666667
12,Regular Season,2022-11-09,1,Active,BRK,NYK,Home,W,34.53,10,19,0.526,1,5,0.2,8,10,0.8,1,11,12,1,2,1,1,29,32,34.53333333
13,Regular Season,2022-11-12,1,Active,BRK,LAC,Away,W,34.53,10,16,0.625,3,5,0.6,4,4,1,0,6,3,2,2,3,4,27,16,34.53333333
14,Regular Season,2022-11-13,1,Active,BRK,LAL,Away,L,37.08,8,16,0.5,2,3,0.667,13,15,0.867,0,9,7,0,2,3,2,31,-15,37.08333333
15,Regular Season,2022-11-15,1,Active,BRK,SAC,Away,L,30.65,8,15,0.533,0,1,0,11,11,1,0,4,6,0,1,2,2,27,-31,30.65
16,Regular Season,2022-11-17,1,Active,BRK,POR,Away,W,38.8,13,22,0.591,1,4,0.25,8,10,0.8,0,8,3,0,1,4,4,35,15,38.8
17,Regular Season,2022-11-20,1,Active,BRK,MEM,Home,W,35.68,9,16,0.563,0,3,0,8,8,1,0,7,7,1,1,4,3,26,5,35.68333333
18,Regular Season,2022-11-22,1,Active,BRK,PHI,Away,L,36.77,9,14,0.643,0,1,0,2,2,1,0,5,5,0,2,3,0,20,-10,36.76666667
19,Regular Season,2022-11-23,1,Active,BRK,TOR,Away,W,32.8,5,10,0.5,2,5,0.4,0,0,NULL,0,7,5,0,3,4,2,12,30,32.8
20,Regular Season,2022-11-25,1,Active,BRK,IND,Away,L,38.08,15,31,0.484,3,12,0.25,3,4,0.75,2,7,8,0,2,5,4,36,0,38.08333333
21,Regular Season,2022-11-27,1,Active,BRK,POR,Home,W,36.68,12,20,0.6,3,6,0.5,4,4,1,0,5,5,0,0,1,4,31,21,36.68333333
22,Regular Season,2022-11-28,1,Active,BRK,ORL,Home,W,38.97,19,24,0.792,3,5,0.6,4,4,1,1,6,5,2,2,6,4,45,11,38.96666667
23,Regular Season,2022-11-30,1,Active,BRK,WAS,Home,W,36.87,13,20,0.65,2,3,0.667,11,11,1,0,5,5,0,1,1,4,39,-1,36.86666667
24,Regular Season,2022-12-02,1,Active,BRK,TOR,Home,W,37.07,6,10,0.6,0,3,0,5,6,0.833,0,9,7,0,2,2,0,17,1,37.06666667
25,Regular Season,2022-12-04,1,Active,BRK,BOS,Home,L,39.75,13,24,0.542,1,5,0.2,4,5,0.8,0,7,5,2,2,8,0,31,-19,39.75
