Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-19,34-020,BRK,,NOP,L (-22),1,31:46:00,11,21,0.524,2,6,0.333,8,9,0.889,0,3,3,2,1,4,4,4,32,21.8,-23
2,2,2022-10-21,34-022,BRK,,TOR,W (+4),1,35:27:00,8,18,0.444,3,9,0.333,8,10,0.8,1,4,5,6,0,2,5,2,27,18.5,-8
3,3,2022-10-24,34-025,BRK,@,MEM,L (-10),1,39:01:00,14,20,0.7,1,3,0.333,8,9,0.889,1,4,5,4,0,0,1,4,37,30.3,-10
4,4,2022-10-26,34-027,BRK,@,MIL,L (-11),1,38:52:00,10,23,0.435,1,4,0.25,12,13,0.923,0,6,6,3,0,2,5,3,33,19.6,-17
5,5,2022-10-27,34-028,BRK,,DAL,L (-4),1,41:14:00,12,21,0.571,2,5,0.4,11,11,1,1,2,3,5,2,1,3,2,37,30.8,-6
6,6,2022-10-29,34-030,BRK,,IND,L (-9),1,38:47:00,8,20,0.4,1,5,0.2,9,9,1,1,4,5,2,3,4,3,0,26,21.3,-3
7,7,2022-10-31,34-032,BRK,,IND,W (+7),1,39:04:00,13,22,0.591,2,5,0.4,8,8,1,0,9,9,7,1,1,3,2,36,31.3,8
8,8,2022-11-01,34-033,BRK,,CHI,L (-9),1,37:59:00,9,16,0.563,2,4,0.5,12,12,1,0,9,9,6,1,2,7,3,32,25.5,-7
9,9,2022-11-04,34-036,BRK,@,WAS,W (+42),1,33:11:00,10,21,0.476,2,6,0.333,6,6,1,0,9,9,11,0,1,2,1,28,26,35
10,10,2022-11-05,34-037,BRK,@,CHO,W (+4),1,37:20:00,10,20,0.5,1,4,0.25,6,6,1,0,8,8,2,0,3,3,2,27,19.1,13
11,11,2022-11-07,34-039,BRK,@,DAL,L (-2),1,38:40:00,10,20,0.5,1,3,0.333,5,7,0.714,1,3,4,4,2,1,3,5,26,17.3,1
12,12,2022-11-09,34-041,BRK,,NYK,W (+27),1,34:32:00,10,19,0.526,1,5,0.2,8,10,0.8,1,11,12,12,1,2,1,1,29,32.3,32
13,13,2022-11-12,34-044,BRK,@,LAC,W (+15),1,34:32:00,10,16,0.625,3,5,0.6,4,4,1,0,6,6,3,2,2,3,4,27,22.5,16
14,14,2022-11-13,34-045,BRK,@,LAL,L (-13),1,37:50:00,8,16,0.5,2,3,0.667,13,15,0.867,0,9,9,7,0,2,3,2,31,27.4,-15
15,15,2022-11-15,34-047,BRK,@,SAC,L (-32),1,30:39:00,8,15,0.533,0,1,0,11,11,1,0,4,4,6,0,1,2,2,27,23,-31
16,16,2022-11-17,34-049,BRK,@,POR,W (+2),1,38:48:00,13,22,0.591,1,4,0.25,8,10,0.8,0,8,8,3,0,1,4,4,35,23.6,15
17,17,2022-11-20,34-052,BRK,,MEM,W (+12),1,35:41:00,9,16,0.563,0,3,0,8,8,1,0,7,7,7,1,1,4,3,26,21.9,5
18,18,2022-11-22,34-054,BRK,@,PHI,L (-9),1,36:46:00,9,14,0.643,0,1,0,2,2,1,0,5,5,5,0,2,3,0,20,17.2,-10
19,19,2022-11-23,34-055,BRK,@,TOR,W (+14),1,32:48:00,5,10,0.5,2,5,0.4,0,0,,0,7,7,5,0,3,4,2,12,9.9,30
20,20,2022-11-25,34-057,BRK,@,IND,L (-11),1,38:50:00,15,31,0.484,3,12,0.25,3,4,0.75,2,7,9,8,0,2,5,4,36,23.8,0
21,21,2022-11-27,34-059,BRK,,POR,W (+14),1,36:41:00,12,20,0.6,3,6,0.5,4,4,1,0,5,5,5,0,0,1,4,31,24.2,21
22,22,2022-11-28,34-060,BRK,,ORL,W (+7),1,38:58:00,19,24,0.792,3,5,0.6,4,4,1,1,6,7,5,2,2,6,4,45,37.6,11
23,23,2022-11-30,34-062,BRK,,WAS,W (+6),1,36:52:00,13,20,0.65,2,3,0.667,11,11,1,0,5,5,5,0,1,1,4,39,33.3,-1
24,24,2022-12-02,34-064,BRK,,TOR,W (+9),1,37:40:00,6,10,0.6,0,3,0,5,6,0.833,0,9,9,7,0,2,2,0,17,19,1
25,25,2022-12-04,34-066,BRK,,BOS,L (-11),1,39:45:00,13,24,0.542,1,5,0.2,4,5,0.8,0,7,7,5,2,2,8,0,31,20,-19
26,26,2022-12-07,34-069,BRK,,CHO,W (+6),1,36:28:00,12,19,0.632,2,5,0.4,3,3,1,0,9,9,8,0,0,3,2,29,25,4
27,27,2022-12-09,34-071,BRK,,ATL,W (+4),1,36:12:00,14,25,0.56,2,7,0.286,4,4,1,0,4,4,4,1,2,4,0,34,24.5,8
28,,2022-12-10,34-072,BRK,@,IND,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,28,2022-12-12,34-074,BRK,@,WAS,W (+12),1,33:26:00,11,17,0.647,3,6,0.5,5,5,1,0,9,9,6,1,1,3,1,30,27.7,11
30,29,2022-12-16,34-078,BRK,@,TOR,W (+3),1,37:07:00,10,15,0.667,2,3,0.667,6,6,1,0,4,4,3,1,0,5,3,28,19.6,9
31,30,2022-12-18,34-080,BRK,@,DET,W (+3),1,36:23:00,14,22,0.636,3,5,0.6,12,13,0.923,1,5,6,2,1,2,6,3,43,31.6,-3
32,31,2022-12-21,34-083,BRK,,GSW,W (+30),1,29:06:00,9,17,0.529,1,3,0.333,4,4,1,0,7,7,5,4,0,2,2,23,21.5,29
33,32,2022-12-23,34-085,BRK,,MIL,W (+18),1,34:14:00,9,17,0.529,2,6,0.333,4,4,1,0,5,5,6,1,1,3,2,24,19.3,17
34,33,2022-12-26,34-088,BRK,@,CLE,W (+8),1,36:27:00,10,18,0.556,5,8,0.625,7,8,0.875,1,8,9,5,0,0,4,6,32,23.2,10
35,34,2022-12-28,34-090,BRK,@,ATL,W (+1),1,36:27:00,8,17,0.471,1,4,0.25,9,9,1,1,15,16,8,0,2,4,3,26,24.3,9
36,35,2022-12-31,34-093,BRK,@,CHO,W (+17),1,29:48:00,9,15,0.6,1,6,0.167,4,4,1,0,5,5,4,0,0,3,3,23,16.2,21
